메인카테고라,서브카테고리,이름,가격,색깔,이미지,사이즈,사이즈차트
men,t-shirt,Men's Demo 2 Mission T-Shirt,30.00,['Black'],"['https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_Demo2MissionPatch_T-Shirt_Black__BACK.png?v=1596236118', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_T-Shirt_Black_FRONT.png?v=1596236118']","['S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X']","[['Size', 'S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X'], ['Length', '28', '29', '30', '31', '32', '33', '34', '35'], ['Width', '19', '20.5', '22', '24', '26', '28', '30', '32']]"
men,t-shirt,Men's Demo 2 Astronaut T-Shirt,30.00,['Black'],"['https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_HelmetT-Shirt_Black_BACK.png?v=1589550719', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_T-Shirt_Black_FRONT_0be8cd4e-15c6-44f8-992a-1463997f7ab9.png?v=1589550752']","['S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X']","[['Size', 'S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X'], ['Length', '28', '29', '30', '31', '32', '33', '34', '35'], ['Width', '19', '20.5', '22', '24', '26', '28', '30', '32']]"
men,t-shirt,Men's Starman T-Shirt,25.00,['Black'],"['https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_Starman_Crew_T-Shirt_Black_00003212017_FRONT.png?v=1567188264', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_Starman_Crew_T-Shirt_Black_00003212017_BACK.png?v=1567795891']","['S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X']","[['Size', 'XS', 'S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X'], ['Length', '26', '27', '29', '31', '32', '33', '34', '35', '36'], ['Width', '17.5', '18', '20', '22', '24', '26', '28', '30', '32']]"
men,t-shirt,Men's Crew Dragon Schematic T-Shirt,30.00,"['Black', 'Gray']","['https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_Dragon_II_Crew_T-Shirt_Black_000001022019_BACK.png?v=1594756341', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_Dragon_II_Crew_T-Shirt_Black_000001022019_FRONT.png?v=1594756341', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_Dragon_II_Crew_T-Shirt_Light_Heather_Grey_000001022019_BACK.png?v=1594756341', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_Dragon_II_Crew_T-Shirt_Light_Heather_Grey_000001022019_FRONT.png?v=1594756341']","['S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X']","[['Size', 'S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X'], ['Length', '28', '29', '30', '31', '32', '33', '34', '35'], ['Width', '19', '20.5', '22', '24', '26', '28', '30', '32']]"
men,t-shirt,Men's SpaceX T-Shirt,25.00,"['Black', 'Navy']","['https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_SpaceX_Crew_T-Shirt_Black_SPEM0052_BACK.png?v=1567187552', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_SpaceX_Crew_T-Shirt_Black_SPEM0052_FRONT.png?v=1567187558', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_SpaceX_Crew_T-Shirt_Navy_SPEM0052_BACK.png?v=1567187568', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_SpaceX_Crew_T-Shirt_Navy_SPEM0052_FRONT.png?v=1567187576']","['S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X']","[['Size', 'XS', 'S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X'], ['Length', '26', '27', '29', '31', '32', '33', '34', '35', '36'], ['Width', '17.5', '18', '20', '22', '24', '26', '28', '30', '32']]"
men,t-shirt,Men's Occupy Mars T-Shirt,25.00,"['Black', 'White', 'Charcoal', 'Gray']","['https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_Occupy_Mars_Crew_T-Shirt_Black_SPEM0037_FRONT.png?v=1567185936', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_Occupy_Mars_Crew_T-Shirt_Light_Heather_Grey_SPEM0037_FRONT.png?v=1567185944', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_Occupy_Mars_Crew_T-Shirt_Charcoal_Heather_SPEM0037_FRONT.png?v=1567185951', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_Occupy_Mars_Crew_T-Shirt_White_SPEM0037_FRONT.png?v=1567185958']","['S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X']","[['Size', 'XS', 'S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X'], ['Length', '26', '27', '29', '31', '32', '33', '34', '35', '36'], ['Width', '17.5', '18', '20', '22', '24', '26', '28', '30', '32']]"
men,t-shirt,Men's Falcon 1 T-Shirt,25.00,['Charcoal'],"['https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_F1_Crew_T-Shirt_Charcoal_Heather_00009252018_BACK.png?v=1567184564', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_F1_Crew_T-Shirt_Charcoal_Heather_00009252018_FRONT.png?v=1567184570']","['S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X']","[['Size', 'S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X'], ['Length', '28', '29', '30', '31', '32', '33', '34', '35'], ['Width', '19', '20.5', '22', '24', '26', '28', '30', '32']]"
men,t-shirt,Men's Falcon Heavy T-Shirt,25.00,"['Charcoal', 'Black']","['https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_FH_Crew_T-Shirt_Charcoal_Heather_SPEM0032_BACK.png?v=1567185451', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_FH_Crew_T-Shirt_Charcoal_Heather_SPEM0032_FRONT.png?v=1567185451', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_FH_Crew_T-Shirt_Black_SPEM0032_BACK.png?v=1567185451', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_FH_Crew_T-Shirt_Black_SPEM0032_FRONT.png?v=1567185451']","['S', 'M', 'L', 'XL', '2X', '3X']","[['Size', 'XS', 'S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X'], ['Length', '26', '27', '29', '31', '32', '33', '34', '35', '36'], ['Width', '17.5', '18', '20', '22', '24', '26', '28', '30', '32']]"
men,t-shirt,Men's F9 T-Shirt,25.00,"['Charcoal', 'Black', 'Gray']","['https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_F9_Crew_T-Shirt_Charcoal_Heather_SPEM0028_BACK.png?v=1568422417', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_F9_Crew_T-Shirt_Charcoal_Heather_SPEM0028_FRONT.png?v=1568422417', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_F9_Crew_T-Shirt_Black_SPEM0028_BACK.png?v=1568422417', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_F9_Crew_T-Shirt_Black_SPEM0028_FRONT.png?v=1568422417', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_F9_Crew_T-Shirt_Light_Heather_Grey_SPEM0028_BACK.png?v=1567185034', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_F9_Crew_T-Shirt_Light_Heather_Grey_SPEM0028_FRONT.png?v=1567185041']","['S', 'M', 'L', 'XL', '2X', '3X']","[['Size', 'XS', 'S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X'], ['Length', '26', '27', '29', '31', '32', '33', '34', '35', '36'], ['Width', '17.5', '18', '20', '22', '24', '26', '28', '30', '32']]"
men,t-shirt,Men's Dragon T-Shirt,25.00,['Black'],"['https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_Dragon_Crew_T-Shirt_Black_BACK.png?v=1590526439', 'https://cdn.shopify.com/s/files/1/0261/2615/5855/products/Mens_SpaceX_Crew_T-Shirt_Black_SPEM0052_FRONT_937562c6-d36b-4d86-ba92-a8b587f6a45c.png?v=1590526439']","['S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X']","[['Size', 'XS', 'S', 'M', 'L', 'XL', '2X', '3X', '4X', '5X'], ['Length', '26', '27', '29', '31', '32', '33', '34', '35', '36'], ['Width', '17.5', '18', '20', '22', '24', '26', '28', '30', '32']]"
